year,conflictid,actor,actorid,actor_type,type,incomp,region,location,gwnoloc,gwnoloc2,conflictyear,interm,postc,state_prev,ai_prev,hrw_prev,form
1989,205,Iran,114,1,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1989,205,KDPI,164,3,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1990,205,Iran,114,1,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
1990,205,KDPI,164,3,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
1991,205,Iran,114,1,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1991,205,KDPI,164,3,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1992,205,Iran,114,1,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1992,205,KDPI,164,3,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1993,205,Iran,114,1,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
1993,205,KDPI,164,3,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
1994,205,Iran,114,1,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1994,205,KDPI,164,3,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1995,205,Iran,114,1,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1995,205,KDPI,164,3,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
1996,205,Iran,114,1,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
1996,205,KDPI,164,3,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
1997,205,Iran,114,1,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
1997,205,KDPI,164,3,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
1998,205,Iran,114,1,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
1998,205,KDPI,164,3,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
1999,205,Iran,114,1,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
1999,205,KDPI,164,3,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
2000,205,Iran,114,1,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
2000,205,KDPI,164,3,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
2001,205,Iran,114,1,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
2001,205,KDPI,164,3,3,1,2,Iran,630,0,0,0,1,0,0,0,-99
2016,205,Iran,114,1,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
2016,205,KDPI,164,3,3,1,2,Iran,630,0,1,0,0,0,0,0,-99
2017,205,Iran,114,1,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
2017,205,KDPI,164,3,3,1,2,Iran,630,0,0,1,0,0,0,0,-99
2018,205,Iran,114,1,3,1,2,Iran,630,0,1,0,0,0,-99,0,-99
2018,205,KDPI,164,3,3,1,2,Iran,630,0,1,0,0,0,-99,0,-99
2019,205,Iran,114,1,3,1,2,Iran,630,0,0,0,1,0,-99,0,-99
2019,205,KDPI,164,3,3,1,2,Iran,630,0,0,0,1,0,-99,0,-99
1989,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,1,0,1
1989,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,Kadre,8150,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1989,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,1,0,"1, 6, 7"
1990,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Kadre,8150,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1990,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,1,0,"1, 7"
1991,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,1,0,1
1991,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Kadre,8150,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,0,0,1,0,0,0,-99
1991,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1991,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Kadre,8150,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,0,0,1,0,0,0,-99
1992,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1992,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,1,0,1
1993,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Kadre,8150,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,0,0,1,0,0,0,-99
1993,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1993,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1994,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1994,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Kadre,8150,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,0,0,1,0,0,-99,-99
1994,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1994,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1995,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
